10;2013;1;47;-2.684;-1.022;-2.004;361.7;0.011;-0.001;22.27;62.67;904.59;0;0.427;185.5
10;2013;1;48;-2.848;-1.022;-2.004;360.5;0.005;-0.002;22.18;62.74;904.65;0;0.593;180.5
10;2013;1;49;-2.879;-1.022;-1.998;360.4;0;-0.001;22.14;63.49;904.65;0;0.583;216.4
10;2013;1;50;-2.841;-0.838;-1.952;360.0;0;-0.005;22.18;62.79;904.59;0;0.898;179.2
10;2013;1;51;-2.600;-0.331;-1.998;359.4;0.011;-0.004;22.33;61.07;904.59;0;1.405;135.2
10;2013;1;52;-2.572;0.184;-2.007;355.9;-0.011;-0.003;22.61;60.30;904.59;0;0.811;144.8
10;2013;1;53;-2.668;-0.164;-2.043;356.0;-0.005;-0.002;22.61;61.16;904.59;0;0.832;175.1
10;2013;1;54;-2.694;22.250;-2.040;355.5;-0.037;-0.004;22.60;59.10;904.59;0;1.014;182.6
10;2013;1;55;-2.623;2.474;-2.074;355.6;-0.043;-0.003;22.63;58.52;904.53;0;0.930;183.5
10;2013;1;56;-2.623;0.814;-2.211;353.5;-0.021;-0.002;22.83;58.55;904.59;0;0.584;158.9
10;2013;1;57;-2.909;0.232;-2.287;353.1;-0.027;-0.002;22.91;58.95;904.53;0;0.913;150.2
10;2013;1;58;-3.038;0.075;-2.195;354.0;-0.011;-0.004;22.78;58.85;904.53;0;1.100;137.6
10;2013;1;59;-2.904;0.998;-2.165;354.9;-0.032;-0.003;22.76;58.72;904.59;0;1.563;112.3
10;2013;1;60;-2.630;209.100;-2.208;353.2;-0.016;-0.003;22.89;56.87;904.59;0;1.670;126.2
10;2013;1;61;-2.582;584.100;-2.369;354.4;0.005;-0.004;23.29;56.70;904.59;0;1.468;127.3
10;2013;1;62;-2.554;115.800;-2.372;354.0;0;-0.003;23.30;55.08;904.59;0;1.165;147.7
10;2013;1;63;-2.630;462.200;-2.430;353.6;0.043;-0.003;23.47;55.74;904.59;0;1.127;159.9
10;2013;1;64;-2.792;633.500;-2.460;353.0;0;-0.002;23.42;55.55;904.65;0;1.236;153.1
10;2013;1;65;-2.886;703.000;-2.433;352.8;-0.005;-0.002;23.45;55.73;904.59;0;0.989;154.4
