10;2013;1;0;5529;1038.708;-3.192
10;2013;1;1;5529;1150.155;-3.192
10;2013;1;2;5529;1218.407;-3.235
10;2013;1;3;5529;1241.125;-3.200
10;2013;1;4;5529;1217.725;-3.190
10;2013;1;5;5529;1149.389;-3.190
10;2013;1;6;5529;1038.975;-3.190
10;2013;1;7;5529;890.932;-3.190
10;2013;1;8;5529;711.143;-3.190
10;2013;1;9;5529;506.696;-3.190
10;2013;1;10;5529;285.097;-3.190
10;2013;1;11;5529;51.532;-3.190
10;2013;1;12;5529;N/A;-3.187
10;2013;1;13;5529;N/A;-3.190
10;2013;1;14;5529;N/A;-3.187
10;2013;1;15;5529;N/A;-3.190
10;2013;1;16;5529;N/A;-3.197
10;2013;1;17;5529;N/A;-3.197
10;2013;1;18;5529;N/A;-3.190
10;2013;1;19;5529;N/A;-3.190
10;2013;1;20;5529;N/A;-3.190
10;2013;1;21;5529;N/A;-3.200
10;2013;1;22;5529;N/A;-3.443
10;2013;1;23;5529;N/A;-3.777
10;2013;1;24;5552;N/A;-4.050
10;2013;1;25;5552;N/A;-4.099
10;2013;1;26;5552;N/A;-4.114
10;2013;1;27;5552;N/A;-4.111
10;2013;1;28;5529;N/A;-3.970
10;2013;1;29;5529;16.864;-3.757
10;2013;1;30;5529;235.893;-3.481
10;2013;1;31;5529;449.000;-3.238
10;2013;1;32;5529;647.287;-3.154
10;2013;1;33;5529;824.996;-2.921
10;2013;1;34;5529;976.356;-2.737
10;2013;1;35;5529;1096.561;-2.575
10;2013;1;36;5529;1181.970;-2.440
10;2013;1;37;5529;1230.147;-2.430
10;2013;1;38;5529;1239.915;-2.430
10;2013;1;39;5529;1211.322;-2.435
10;2013;1;40;5529;1145.647;-2.547
10;2013;1;41;5529;1045.293;-2.562
10;2013;1;42;5529;913.755;-2.577
10;2013;1;43;5529;755.474;-2.580
10;2013;1;44;5529;575.717;-2.580
10;2013;1;45;5529;380.230;-2.572
10;2013;1;46;5529;173.652;-2.580
10;2013;1;47;5529;N/A;-2.684
10;2013;1;48;5529;N/A;-2.848
10;2013;1;49;5529;N/A;-2.879
10;2013;1;50;5529;N/A;-2.841
10;2013;1;51;5529;N/A;-2.600
10;2013;1;52;5529;N/A;-2.572
10;2013;1;53;5529;N/A;-2.668
10;2013;1;54;5529;N/A;-2.694
10;2013;1;55;5529;N/A;-2.623
10;2013;1;56;5529;N/A;-2.623
10;2013;1;57;5529;N/A;-2.909
10;2013;1;58;5529;N/A;-3.038
10;2013;1;59;5529;N/A;-2.904
10;2013;1;60;5529;N/A;-2.630
10;2013;1;61;5529;N/A;-2.582
10;2013;1;62;5529;N/A;-2.554
10;2013;1;63;5529;N/A;-2.630
10;2013;1;64;5529;N/A;-2.792
10;2013;1;65;5529;N/A;-2.886
10;2013;1;66;5529;N/A;-2.980
10;2013;1;67;5529;36.472;-3.111
10;2013;1;68;5529;229.549;-3.079
10;2013;1;69;5529;415.081;-3.134
